Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
What is the capital of Japan?,Tokyo,Kyoto,Osaka,Seoul,Tokyo
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Mars
What is 2 + 2?,3,4,5,6,4
Who wrote "Romeo and Juliet"?,William Shakespeare,Jane Austen,Charles Dickens,Mark Twain,William Shakespeare
What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,Blue Whale
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,H2O
In which year did the Titanic sink?,1912,1920,1905,1931,1912
What is the square root of 144?,10,12,14,16,12
What is the currency of Australia?,Australian Dollar,Euro,Pound,Yen,Australian Dollar
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au
Which artist painted the "Mona Lisa"?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Michelangelo,Leonardo da Vinci
What is the largest desert in the world?,Antarctic Polar Desert,Sahara Desert,Arabian Desert,Gobi Desert,Antarctic Polar Desert
Which country is known as the "Land of the Rising Sun"?,Japan,China,Korea,Vietnam,Japan
What is the boiling point of water in Celsius?,100,212,0,32,100
Who wrote "Pride and Prejudice"?,Jane Austen,Charlotte Bronte,Emily Bronte,George Eliot,Jane Austen
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
Which gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune,Jupiter
Which animal is known as the "King of the Jungle"?,Lion,Tiger,Elephant,Giraffe,Lion
What is the currency of Brazil?,Real,Peso,Dollar,Euro,Real
Who discovered penicillin?,Alexander Fleming,Marie Curie,Albert Einstein,Isaac Newton,Alexander Fleming
What is the largest organ in the human body?,Skin,Liver,Heart,Brain,Skin
Which city is known as the "City of Lights"?,Paris,Rome,London,Berlin,Paris
What is the chemical formula for table salt?,NaCl,H2O,CO2,O2,NaCl
Which playwright wrote "Hamlet"?,William Shakespeare,Arthur Miller,Tennessee Williams,Eugene O'Neill,William Shakespeare
What is the largest continent?,Asia,Africa,Europe,North America,Asia
Which element has the chemical symbol "O"?,Oxygen,Gold,Iron,Silver,Oxygen
What is the largest bird in the world?,Ostrich,Eagle,Albatross,Penguin,Ostrich
Who developed the theory of relativity?,Albert Einstein,Stephen Hawking,Isaac Newton,Galileo Galilei,Albert Einstein
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,Mars
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,Jane Austen,Charles Dickens,F. Scott Fitzgerald
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
Which element has the chemical symbol "Fe"?,Iron,Gold,Silver,Copper,Iron
Who painted "Starry Night"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Vincent van Gogh
What is the capital of France?,Paris,London,Rome,Berlin,Paris
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen
What is the largest mammal in the world?,Blue Whale,Elephant,Giraffe,Hippopotamus,Blue Whale
Who developed the theory of evolution by natural selection?,Charles Darwin,Albert Einstein,Isaac Newton,Galileo Galilei,Charles Darwin
What is the currency of Japan?,Yen,Won,Dollar,Euro,Yen
Which country is known as the "Land of the Midnight Sun"?,Norway,Sweden,Finland,Iceland,Norway
What is the chemical formula for water?,H2O,CO2,NaCl,O2,H2O
