question,option1,option2,option3,option4,answer
What is the primary focus of UX design?,User satisfaction,Visual appeal,Code efficiency,Marketing effectiveness,User satisfaction
What is a user-centered approach in UX?,Designing with the user's needs in mind,Designing with the developer's needs in mind,Designing with the business's needs in mind,Designing with the marketer's needs in mind,Designing with the user's needs in mind
What is user research in UX?,Understanding user behaviors and needs,Writing code,Managing databases,Creating marketing campaigns,Understanding user behaviors and needs
What is a user persona in UX?,A fictional representation of a target user,A real user,A stakeholder,A competitor,A fictional representation of a target user
What is a user journey map in UX?,A visual representation of a user's interactions with a product,A list of users,A list of features,A list of stakeholders,A visual representation of a user's interactions with a product
What is information architecture in UX?,Organizing content for easy navigation,Writing code,Managing databases,Creating marketing campaigns,Organizing content for easy navigation
What is usability testing in UX?,Evaluating a product with real users,Evaluating a product with developers,Evaluating a product with stakeholders,Evaluating a product with marketers,Evaluating a product with real users
What is a heuristic evaluation in UX?,An expert review of a product's usability,A user review,A developer review,A stakeholder review,An expert review of a product's usability
What is A/B testing in UX?,Comparing two versions of a design to see which performs better,Comparing two versions of code,Comparing two versions of data,Comparing two versions of marketing,Comparing two versions of a design to see which performs better
What is interaction design in UX?,Designing how users interact with a product,Designing the visual appearance,Designing the database,Designing the marketing strategy,Designing how users interact with a product
What is a prototype in UX?,An interactive model of a design,A static image,A written document,A color palette,An interactive model of a design
What is a user flow in UX?,The path a user takes to complete a task,The design process,The development process,The marketing process,The path a user takes to complete a task
What is a sitemap in UX?,A visual representation of a website's structure,A list of users,A list of features,A list of stakeholders,A visual representation of a website's structure
What is responsive design in UX?,Designing for multiple screen sizes,Designing only for desktop,Designing only for mobile,Designing only for tablet,Designing for multiple screen sizes
What is accessibility in UX?,Designing for all users,Designing for specific users,Designing only for tech-savvy users,Designing only for visual users,Designing for all users
What is a mental model in UX?,A user's understanding of how a system works,A developer's understanding of code,A data administrator's understanding of data,A marketer's understanding of marketing,A user's understanding of how a system works
What is affordance in UX?,Visual cues that suggest how an object can be used,Visual cues in code,Visual cues in data,Visual cues in marketing,Visual cues that suggest how an object can be used
What is signifier in UX?,A clue that communicates affordance,A clue in code,A clue in data,A clue in marketing,A clue that communicates affordance
What is Jakob's Law in UX?,Users spend most of their time on other sites,Users spend most of their time coding,Users spend most of their time managing data,Users spend most of their time marketing,Users spend most of their time on other sites
What is Fitts's Law in UX?,Time to acquire a target is a function of distance and size,Time to write code is a function of complexity,Time to manage data is a function of volume,Time to market a product is a function of budget,Time to acquire a target is a function of distance and size
What is Hick's Law in UX?,Decision time increases with the number of choices,Decision time decreases with the number of choices,Decision time is unaffected by the number of choices,Decision time depends on data speed,Decision time increases with the number of choices
What is Miller's Law in UX?,Average person can hold 7±2 items in working memory,Average person can write 7±2 lines of code per hour,Average person can manage 7±2 data tables,Average person can remember 7±2 marketing slogans,Average person can hold 7±2 items in working memory
What is Gestalt Principles in UX?,Principles of visual perception,Principles of code organization,Principles of data normalization,Principles of marketing psychology,Principles of visual perception
What is a design sprint in UX?,A time-constrained process for solving design problems,A time-constrained process for writing code,A time-constrained process for managing databases,A time-constrained process for creating marketing campaigns,A time-constrained process for solving design problems
